name,year_established,year_active,systems_res,systems_com,states_active,headquarters_street,headquarters_city,headquarters_state,headquarters_zip,headquarters_country,headquarters_link,office_latlongs,lat,lng
"SOLAR TOPPS, LLC",2009,2009,10000,,AZ,102+S+28th+Street,Phoenix,AZ,85034,United States,https://www.google.com/maps/?q=102%20S.%2028th%20Street%20Phoenix%20AZ%2085034,"33.4413,-112.0421",33.4466949,-112.022067
Vivint Solar,2011,2011,150000,,AZ|CA|CO|CT|DE|FL|HI|IL|MD|MA|NV|NH|NJ|NM|NY|OH|PA|RI|SC|TX|UT|VT|VA,1800+W+Ashton+Blvd,Lehi,UT,84043,United States,https://www.google.com/maps/?q=1800%20W%20Ashton%20Blvd%20Lehi%20UT%2084043,"33.4491,-112.1972|37.9823,-122.0362|32.9756,-117.0402|36.7918,-119.8801|35.3855,-118.986|34.6017,-118.231|37.3864,-121.88|34.2218,-118.9866|33.6801,-117.9085|39.7224,-121.8113|33.9464,-118.0838|38.6383,-121.5072|37.9532,-121.3116|33.9761,-117.3389|41.3822,-72.8585|28.0509,-82.6164|28.5302,-81.4045|42.4829,-71.1574|42.3509,-71.5434|41.905,-71.1026|42.1934,-72.5544|39.0455,-76.9242|39.3361,-76.5014|39.3647,-77.4636|38.584,-76.8942|38.4445,-75.5583|40.8742,-74.35|40.46,-74.3478|39.9478,-74.9036|40.085,-74.2042|40.2655,-74.8168|39.3876,-74.5149|35.1759,-106.6015|40.8146,-73.5024|40.7678,-73.1163|40.7781,-73.4816|42.7198,-73.8207|41.0572,-73.8136|39.8905,-75.2821|40.1159,-74.8536|40.3928,-111.7941|40.3958,-111.8506",40.419296,-111.8798475
Ally Electric & Solar Inc,2010,2010,1000,16,CA,855+Marina+Bay+Pkwy,Richmond,CA,94805,US,https://www.google.com/maps/?q=855%20Marina%20Bay%20Pkwy%20Richmond%20CA%2094805,,37.9193179,-122.3469949
Simply Solar Systems,2010,,,,NY,2890+Church+Rd,Hamlin,NY,14464,US,https://www.google.com/maps/?q=2890%20Church%20Rd%20Hamlin%20NY%2014464,,43.322892,-77.95359
Velocity Solar,2014,2014,300,50,CA,623+Bitritto+Ct,Modesto,CA,95356,US,https://www.google.com/maps/?q=623%20Bitritto%20Ct%20Modesto%20California%2095356,"37.7005,-121.0252",37.7136797,-121.0031806
Sundog Solar LLC,2009,2009,615,45,ME,465,searsport,ME,4974,United States,https://www.google.com/maps/?q=p.o.%20box%20465%20searsport%20Maine%2004974,,44.463934,-68.9038627
Beyond SOLAR,2008,2015,39,15,CT|FL|GA|IL|MO|NJ|NY|NC|SC|TN|TX,2725+Mountain+Industrial+Blvd,Tucker,GA,30084,United States,https://www.google.com/maps/?q=2725%20Mountain%20Industrial%20Blvd%2C%20A-5%20Tucker%20GA%2030084,"33.857,-84.216|33.8105,-84.1361",33.8580322,-84.1882655
"ReVision Energy, LLC",2003,2003,4000,500,ME|MA|NH,55+Bell+St,Portland,ME,4103,USA,https://www.google.com/maps/?q=55%20Bell%20St%20Portland%20ME%2004103,"43.6876,-70.2876|44.3741,-69.3306|43.2185,-71.5277|42.6826,-71.109",43.6848973,-70.2898564
Base Price Power,2012,2008,6100,,AZ|CA|CT|FL|IL|MD|MA|NV|NJ|NM|NC|PA|RI|SC|TX,700+E+Redlands+Blvd,Redlands,CA,92374,United States,https://www.google.com/maps/?q=700%20E.%20Redlands%20Blvd%20Redlands%20CA%2092374,,34.0473701,-117.1693885
"SolarDot, Inc.",2016,2016,100,,FL,20+N+Orange+Ave,orlando,FL,32801,United States,https://www.google.com/maps/?q=20%20N%20Orange%20Ave%20orlando%20FL%2032801,,28.5424973,-81.3795088
Turning Mill Energy LLC,,,,,,68+Tupper+Road,Sandwich,MA,2563,United States,https://www.google.com/maps/?q=68%20Tupper%20Road%2C%20Unit%20%233%20Sandwich%20MA%2002563,,41.7674021,-70.5052507
AltSys Solar Inc.,2007,2007,1100,60,CA,1434+E+Tulare+Ave,Tulare,CA,93274,United States,https://www.google.com/maps/?q=1434%20E%20Tulare%20Ave%20Tulare%20CA%2093274,,36.2113587,-119.3258158
US SolarWorks,2006,2008,49,12,MA|RI,64+Water+Street,Attleboro,MA,2703,US,https://www.google.com/maps/?q=64%20Water%20Street%20Attleboro%20MA%2002703,,41.9500576,-71.2953089
"Adroit Energy, Inc.",1986,2006,440,140,CA|HI,4850+Pacific+Hwy+Suite+110,San+Diego,CA,92110,United States,https://www.google.com/maps/?q=4850%20Pacific%20Hwy%20Suite%20%23110%20San%20Diego%20California%2092110,,32.7629997,-117.2041826
Lifestyle Solar Inc,2008,2008,3800,30,CA,21+E+Shaw+Ave,Fresno,CA,93710,US,https://www.google.com/maps/?q=21%20E%20Shaw%20Ave%20Fresno%20CA%2093710,,36.8078513,-119.789734
Upstate Alternative Energy,2008,2008,80,5,NY,7773+Gloria+Dr,Baldwinsville,NY,13027,US,https://www.google.com/maps/?q=7773%20Gloria%20Dr%20Baldwinsville%20NY%2013027,,43.1475123,-76.2800883
"Enel North America, Inc.",,,,,,220,Andover,MA,1810,United States,https://www.google.com/maps/?q=One%20Tech%20Drive%2C%20Suite%20220%20Andover%20MA%2001810,,42.6869371,-71.2100072
"SolarTEK Energy of Denver, Inc.",1992,,,,,6232+Beach+Street,Denver,CO,80221,United States,https://www.google.com/maps/?q=6232%20Beach%20Street%0D%0A%20Denver%20CO%2080221,,39.8091875,-105.0163844
