State,Trillion_Btu,Sq_miles_land
Alabama,"1,900.90","50,645.33"
Alaska,608.1,"570,640.95"
Arizona,"1,475.40","113,594.08"
Arkansas,"1,057.60","52,035.48"
California,"7,881.30","155,779.22"
Colorado,"1,462.90","103,641.89"
Connecticut,726.4,"4,842.36"
Delaware,269.8,"1,948.54"
District of Columbia,167.6,"53,624.76"
Florida,"4,208.50","57,513.49"
Georgia,"2,802.20","6,422.63"
Hawaii,283.4,"82,643.12"
Idaho,553.9,"55,518.93"
Illinois,"3,871.50","35,826.11"
Indiana,"2,700.50","55,857.13"
Iowa,"1,559.00","81,758.72"
Kansas,"1,073.20","39,486.34"
Kentucky,"1,658.20","43,203.90"
Louisiana,"4,481.80","30,842.92"
Maine,392,"9,707.24"
Maryland,"1,314.70","7,800.06"
Massachusetts,"1,424.20","56,538.90"
Michigan,"2,774.50","79,626.74"
Minnesota,"1,832.30","46,923.27"
Mississippi,"1,176.40","68,741.52"
Missouri,"1,726.10","145,545.80"
Montana,420.6,"76,824.17"
Nebraska,876,"109,781.18"
Nevada,707.2,"8,952.65"
New Hampshire,317.5,"7,354.22"
New Jersey,"2,134.90","121,298.15"
New Mexico,683.4,"47,126.40"
New York,"3,684.10","48,617.91"
North Carolina,"2,503.10","69,000.80"
North Dakota,631.1,"40,860.69"
Ohio,"3,643.70","68,594.92"
Oklahoma,"1,643.80","95,988.01"
Oregon,"1,032.20","44,742.70"
Pennsylvania,"3,807.70","1,033.81"
Rhode Island,183.9,"30,060.70"
South Carolina,"1,643.60","75,811.00"
South Dakota,384.9,"41,234.90"
Tennessee,"2,166.50","261,231.71"
Texas,"13,365.90","82,169.62"
Utah,828.7,"9,216.66"
Vermont,134.8,"39,490.09"
Virginia,"2,302.60","66,455.52"
Washington,"2,096.90","24,038.21"
West Virginia,756.4,"54,157.80"
Wisconsin,"1,805.80","97,093.14"
Wyoming,512.2,
